SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),GHGEmissions(MetricTonsCO2e)_log,SiteEnergyUse(kBtu)_log
4759256.0,124.66,0.7,4.833579846974801,15.375602121586935
3226884.0,22.5,0.12,3.1570004211501135,14.987027833584714
2314835.0,29.57,0.37,3.420019135902743,14.65484940066042
2101376.0,70.17,0.8,4.26507138131118,14.558103402092685
3002991.0,67.94,0.64,4.233236561088719,14.915119682959254
3983784.0,27.77,0.08,3.3593331775634567,15.197742930366962
620483.0,14.5,0.16,2.740840023925201,13.338255097637616
2103276.0,14.66,0.07,2.751109690562657,14.559007162606308
4618360.0,75.2,0.89,4.333361462692601,15.345550438210267
2996502.0,20.91,0.11,3.086943153607375,14.912956500047905
6155789.0,182.58,2.62,5.212650539790945,15.632903660298615
4329044.0,96.17,0.58,4.576462021851348,15.280857521380485
4993962.0,53.56,0.56,3.9993010135352067,15.423740340903741
7015692.0,92.68,0.62,4.539884719289462,15.763660054950217
1976920.0,45.6,0.4,3.8416005411316,14.497051141819702
2434208.0,38.62,0.41,3.6793340412704048,14.705132415729045
2660396.0,28.78,0.24,3.393837027255863,14.79398591774179
7654264.0,53.36,0.22,3.995628589282943,15.850773566788092
7761927.0,54.11,0.15,4.009331187895144,15.864741314908162
2184912.0,60.98,0.99,4.126811752359602,14.597086568785475
2992693.0,23.56,0.09,3.2011191032789417,14.911684543051486
6010407.0,41.9,0.17,3.758871825933971,15.609003191062424
5230553.0,84.18,0.7,4.444766664495067,15.470027757773456
3436032.0,23.95,0.16,3.2168738221975275,15.049828166231082
2383075.0,21.04,0.16,3.092858984284714,14.68390264814471
5032796.0,35.09,0.07,3.586015818654697,15.431486451148128
8504904.0,59.29,0.06,4.099166252501314,15.956153613849656
4395510.0,75.0,0.61,4.330733340286331,15.296094350829675
4785692.0,33.36,0.13,3.536893097116055,15.381141399968897
7577723.0,75.45,0.28,4.336636932375072,15.840723448678096
2394843.0,46.23,0.76,3.8550292839080256,14.688828651006357
2150536.0,49.26,0.7,3.917209532115446,14.58122813635901
7649110.0,53.32,0.13,3.9948924832504407,15.850099989899585
5454482.0,137.15,0.59,4.9283400513694255,15.511948397322453
